lang_id,verb_id,tense_id,sing_1,sing_2,sing_3,plural_1,plural_2,plural_3
1,3,8,would be doing,would be doing,would be doing,would be doing,would be doing,would be doing
1,3,9,have done,have done,has done,have done,have done,have done
1,3,10,will have done,will have done,will have done,will have done,will have done,will have done
1,3,11,had done,had done,had done,had done,had done,had done
1,3,12,would have done,would have done,would have done,would have done,would have done,would have done
1,3,13,have been doing,have been doing,has been doing,have been doing,have been doing,have been doing
1,3,14,will have been doing,will have been doing,will have been doing,will have been doing,will have been doing,will have been doing
1,3,15,had been doing,had been doing,had been doing,had been doing,had been doing,had been doing
1,3,16,would have been doing,would have been doing,would have been doing,would have been doing,would have been doing,would have been doing
1,4,1,say,say,says,say,say,say
1,4,2,will say,will say,will say,will say,will say,will say
1,4,3,said,said,said,said,said,said
1,4,4,would say,would say,would say,would say,would say,would say
1,4,5,am saying,are saying,is saying,are saying,are saying,are saying
1,4,6,will be saying,will be saying,will be saying,will be saying,will be saying,will be saying
1,4,7,was saying,were saying,was saying,were saying,were saying,were saying
1,4,8,would be saying,would be saying,would be saying,would be saying,would be saying,would be saying
1,4,9,have said,have said,has said,have said,have said,have said
1,4,10,will have said,will have said,will have said,will have said,will have said,will have said
1,4,11,had said,had said,had said,had said,had said,had said
1,4,12,would have said,would have said,would have said,would have said,would have said,would have said
1,4,13,have been saying,have been saying,has been saying,have been saying,have been saying,have been saying
1,4,14,will have been saying,will have been saying,will have been saying,will have been saying,will have been saying,will have been saying
1,4,15,had been saying,had been saying,had been saying,had been saying,had been saying,had been saying
1,4,16,would have been saying,would have been saying,would have been saying,would have been saying,would have been saying,would have been saying
1,5,1,get,get,gets,get,get,get
1,5,2,will get,will get,will get,will get,will get,will get
1,5,3,got,got,got,got,got,got
1,5,4,would get,would get,would get,would get,would get,would get
1,5,5,am getting,are getting,is getting,are getting,are getting,are getting
1,5,6,will be getting,will be getting,will be getting,will be getting,will be getting,will be getting
1,5,7,was getting,were getting,was getting,were getting,were getting,were getting
1,5,8,would be getting,would be getting,would be getting,would be getting,would be getting,would be getting
